Temperature,HeatCap,,,,
50.00013333,21.55645099,,,,
44.7476,19.27950175,,,,
40.0459,17.67907483,,,,
35.83903333,16.06069311,,,,
32.07423333,14.43893861,,,,
28.70423333,12.93327638,,,,
25.68773333,11.50191642,,,,
22.98953333,10.0868871,,,,
20.57386667,8.746617467,,,,
18.41256667,7.47588197,,,,
16.47856667,6.336784009,,,,
14.74723333,5.318000625,,,,
13.19773333,4.384312203,,,,
11.81176667,3.554073206,,,,
10.57053333,2.85498956,,,,
9.453776667,2.288559015,,,,
8.465123333,1.818506039,,,,
7.577803333,1.45115909,,,,
6.781243333,1.178732439,,,,
6.069426667,0.974940385,,,,
5.4291,0.848684252,,,,
4.860393333,0.789923843,,,,
4.349843333,0.765610303,,,,
3.893393333,0.768991479,,,,
3.483406667,0.793041854,,,,
3.117996667,0.812559702,,,,
2.790206667,0.83593619,,,,
2.496883333,0.842869636,,,,
2.234456667,0.845383883,,,,
1.999953333,0.836468892,,,,
50.00013333,22.32028121,,,,
44.7476,20.0680592,,,,
40.0459,18.26682928,,,,
35.83903333,16.42616133,,,,
32.07423333,14.73824884,,,,
28.70423333,12.97641506,,,,
25.68773333,11.34301017,,,,
22.98953333,9.759938996,,,,
20.57386667,8.281013771,,,,
18.41256667,6.843522394,,,,
16.47856667,5.606813642,,,,
14.74723333,4.546925547,,,,
13.19773333,3.605781338,,,,
11.81176667,2.832403411,,,,
10.57053333,2.241851094,,,,
9.453776667,1.770825341,,,,
8.465123333,1.408344485,,,,
7.577803333,1.151562857,,,,
6.781243333,0.983480766,,,,
6.069426667,0.866808958,,,,
5.4291,0.802827349,,,,
4.860393333,0.782061577,,,,
4.349843333,0.790649356,,,,
3.893393333,0.815162941,,,,
3.483406667,0.848954421,,,,
3.117996667,0.874176088,,,,
2.790206667,0.901040296,,,,
2.496883333,0.917716248,,,,
2.234456667,0.918310489,,,,
1.999953333,0.909441776,,,,
50.00113333,24.38516226,,,,
44.74716667,21.49182003,,,,
40.0461,19.8141418,,,,
35.8388,18.07785493,,,,
32.07336667,16.12257949,,,,
28.704,14.33625327,,,,
25.68843333,12.47292668,,,,
22.99006667,10.81550781,,,,
20.57416667,9.222705515,,,,
18.413,7.836171625,,,,
16.47863333,6.393453287,,,,
14.74753333,5.336145311,,,,
13.19783333,4.404541175,,,,
11.81173333,3.559129502,,,,
10.57116667,2.898644318,,,,
9.457753333,2.350557847,,,,
8.46604,1.830432082,,,,
7.57405,1.475053617,,,,
6.78209,1.214565426,,,,
6.068126667,1.032270433,,,,
5.43206,0.900976955,,,,
4.86179,0.834772514,,,,
4.35149,0.8158133,,,,
3.89323,0.817021089,,,,
3.48371,0.831624721,,,,
3.117353333,0.843038508,,,,
2.790136667,0.861743306,,,,
2.49726,0.870283462,,,,
2.234646667,0.867670798,,,,
1.999886667,0.856097128,,,,
